ISO_A3,Country or region,Note,World Bank Region,"Total population, 2018","Total area, 2018",Evaluated area,Level 1 area (% of evaluated area),"Human development Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), long-term","Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity (% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity Tariffs for SMEs (US cent/kWh), 2019"
SLE,Sierra Leone,,AFR,7650154,72180.0,72180,0.968704817872301,0.418987064789857,522.858128404118,5.1185,4.0862,0.104,1.4584,,4.2,0.549008555906195,2.5,,0.0,20.4
SLV,El Salvador,,LCR,6420744,20720.0,20720,0.808802250803858,0.67415872684264,4058.24465202164,5.9155,4.8272,0.088,1.3285,0.125,184.2,28.6882641637792,98.7540836323244,937.073876813943,6.0,16.7
SMR,San Marino,,Other,33785,60.0,60,0.86,,48494.5514112427,3.9336,3.7595,0.1018,2.6023,,0.0,0.0,100.0,,6.0,13.8
SOM,Somalia,,AFR,15008154,627340.0,627340,0.896797157792359,,314.562363459147,6.0283,4.7617,0.0897,1.4981,,7.1,0.473076169127795,11.6313767023634,,,
SRB,Serbia,,ECA,6982084,87460.0,87460,0.842730513383621,0.786693034699728,7233.99587424704,3.6762,3.5203,0.1207,2.993,0.373,10.0,1.43223713722149,100.0,4271.7446669105,5.0,7.3
SSD,South Sudan,,AFR,10975920,,619745,0.645790431687902,0.387725180848733,283.487801728826,5.6788,4.4569,0.0954,1.4025,,0.5,0.04555426788825,5.8733958854267,43.5817242123859,,
STP,São Tomé and Príncipe,,AFR,211028,960.0,960,0.197754749568221,0.589476283139653,2001.14090226164,4.2979,3.4681,0.124,1.3583,,0.1,0.473870765964706,51.0857189677002,,0.0,17.0
SUR,Suriname,,LCR,575991,156000.0,156000,0.061991817583612,0.719612421871166,5950.21394733953,5.3777,4.269,0.0993,1.3342,0.006,6.9,11.9793538440705,69.3380324663806,3596.77772094427,0.0,7.3
SVK,Slovakia,,ECA,5447011,48080.0,48080,0.594624678245948,0.85520023672264,19546.9019028513,3.2518,3.2655,0.109,3.5711,0.83,531.0,97.4846571817094,100.0,5137.07383519398,8.0,11.6
SVN,Slovenia,,ECA,2067372,20142.0,20142,0.471185244020828,0.896223828558909,26234.0228962506,3.4522,3.4345,0.104,2.8709,0.842,255.8,123.73196502613,100.0,6727.99930164211,8.0,14.6
SWE,Sweden,up to parallel 60°N,Other,10183175,407310.0,142950,0.482517703491403,0.932804549269391,54111.9721723671,2.6867,2.8373,0.1256,7.852,1.936,421.0,41.3427050011416,100.0,13480.148224391,8.0,10.2
SWZ,Eswatini,,AFR,1136191,17200.0,17200,0.917226148409894,0.588316354143471,4139.96194908385,4.8493,4.3186,0.0989,1.1572,,0.9,0.792120338921889,61.1840977421427,,0.0,16.2
SXM,Sint Maarten (Neth.),,Other,40654,34.0,34,0.69047619047619,,,5.8376,4.8683,0.0788,1.2135,,,,,,,
